0;1;2;3;4;5;Code ES
1;0;0;0;0;0;002019
1;0;0;0;0;0;002034
1;0;0;0;0;0;002039
1;0;0;0;0;0;002091
1;0;0;0;0;0;002131
1;0;0;0;0;0;002222
1;0;0;0;0;0;002233
1;0;0;0;0;0;002382
0;0;0;0;1;0;002409
1;0;0;0;0;0;002703
1;0;0;0;0;0;002726
1;0;0;0;0;0;002803
0;1;0;0;0;0;003027
1;0;0;0;0;0;003079
0;0;1;0;0;0;003096
0;0;1;0;0;0;003102
1;0;0;0;0;0;003123
0;0;0;0;1;0;003157
0;1;0;0;0;0;003165
0;0;0;0;1;0;003167
0;0;0;1;0;0;003218
0;0;0;1;0;0;003241
0;0;0;0;1;0;003272
1;0;0;0;0;0;003297
0;0;1;0;0;0;003324
1;0;0;0;0;0;003342
0;0;0;1;0;0;003344
0;1;0;0;0;0;003351
1;0;0;0;0;0;003363
1;0;0;0;0;0;003434
0;1;0;0;0;0;003452
1;0;0;0;0;0;003456
0;0;0;0;0;1;003479
0;0;0;0;0;1;003530
0;0;0;0;0;1;003567
1;0;0;0;0;0;003599
0;0;0;0;1;0;003608
0;1;0;0;0;0;003642
0;0;0;0;0;1;003652
1;0;0;0;0;0;003688
0;0;1;0;0;0;003701
0;0;0;0;0;1;003712
0;1;0;0;0;0;003737
0;1;0;0;0;0;003745
0;0;0;1;0;0;003778
0;0;1;0;0;0;003781
0;1;0;0;0;0;003799
0;0;0;0;0;1;003860
1;0;0;0;0;0;003873
0;0;0;0;1;0;003890
0;0;0;0;1;0;003895
0;0;0;1;0;0;003922
0;0;0;1;0;0;003948
0;0;0;0;1;0;003965
1;0;0;0;0;0;004042
1;0;0;0;0;0;004131
1;0;0;0;0;0;004214
1;0;0;0;0;0;004216
1;0;0;1;0;0;004218
1;0;0;0;0;0;004219
1;0;0;0;0;0;004220
1;0;0;0;0;0;004311
1;0;0;0;0;0;004508
1;0;0;0;0;0;004530
1;0;0;0;0;0;004546
1;0;0;0;0;0;004562
1;0;0;0;0;0;004571
1;0;0;0;0;0;004575
1;0;0;0;0;0;004803
1;0;0;0;0;0;004830
1;0;0;0;0;0;004861
1;0;0;0;0;0;004870
1;0;0;0;0;0;005010
1;0;0;0;0;0;005138
1;0;0;0;0;0;005469
