LOCALITE;AGENCE;0;1;2;3;4;5;J1;J2;J3
Ait ourir;Agence marrakech;1;0;1;0;0;0;0;0;0
Amizmiz;Agence marrakech;0;1;0;0;0;0;0;0;0
Assahrij;Agence marrakech;0;0;1;0;0;0;0;0;0
Chichaoua;Agence marrakech;0;1;0;0;0;0;0;0;0
Aghmat;Agence marrakech;0;0;0;0;1;0;0;0;0
Ighoud;Agence safi;0;1;0;1;0;0;0;0;0
Kattara;Agence marrakech;0;0;0;0;0;1;0;0;0
Laattaouia;Agence marrakech;1;0;0;1;0;0;0;0;0
Lakouablia;Agence marrakech;0;0;0;0;0;1;0;0;0
Lalla takarkoust;Agence marrakech;0;1;0;0;0;0;0;0;0
Moulay brahim;Agence marrakech;0;0;0;0;1;0;0;0;0
Sid l'mokhtar;Agence marrakech;0;1;0;0;0;0;0;0;0
Sid zouin;Agence marrakech;0;1;0;0;0;0;0;0;0
Sidi abdallah ghiat;Agence marrakech;0;0;1;0;0;0;0;0;0
Sidi bou othmane;Agence marrakech;1;0;0;1;0;1;0;0;0
Skhour rehamna;Agence marrakech;0;0;0;0;0;1;0;0;0
Tahannaout;Agence marrakech;0;0;0;0;1;0;0;0;0
Tameslouht;Agence marrakech;0;1;0;0;0;0;0;0;0
Douar saidat;Agence marrakech;0;1;0;0;0;0;0;0;0
Zemrane charqia;Agence marrakech;1;0;0;1;0;0;0;0;0
Asni;Agence marrakech;0;0;0;0;1;0;0;0;0
Bouchane;Agence marrakech;0;0;0;0;0;1;0;0;0
Touama;Agence marrakech;0;0;1;0;0;0;0;0;0
Ait hadi;Agence marrakech;0;1;0;0;0;0;0;0;0
Tamelelt;Agence marrakech;1;0;0;1;0;0;0;0;0
Ataouia;Agence marrakech;1;0;0;1;0;0;0;0;0
Harbil;Agence marrakech;0;0;0;0;0;1;0;0;0
El amria;Agence marrakech;1;0;0;1;0;0;0;0;0
Chwiter;Agence marrakech;1;0;1;0;0;0;0;0;0
Loudaya;Agence marrakech;0;1;0;0;0;0;0;0;0
Zaouïa de sidi ghanem;Agence marrakech;0;1;0;0;0;0;0;0;0
Al haouz;Agence marrakech;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
Nzalet el adam;Agence marrakech;1;0;0;1;0;0;0;0;0
Mzoudia;Agence marrakech;0;1;0;0;0;0;0;0;0
Imlil;Agence marrakech;0;0;0;0;1;0;0;0;0
Nzalat laadam;Agence marrakech;1;0;0;1;0;1;0;0;0
Talat n'yaaqoub;Agence marrakech;0;0;0;0;1;0;0;0;0
