Tadighoust;1;0;0;0;0;0
Fezna;0;1;0;0;0;0
Ikniouen;1;0;0;0;0;0
Assoul;1;0;0;0;0;0
Ait hani;1;0;0;0;0;0
Ouaklim;1;0;0;0;0;0
M'ssici;0;0;0;0;1;0
Ksar touroug;0;1;0;0;0;0
El hanchane;0;1;0;0;0;0
Talmest;0;0;1;0;0;0
Had draa;0;0;1;0;0;0
Berakat radi;0;0;1;0;0;0
Essaouira;1;1;1;1;1;1
Ounagha;0;1;0;0;0;0
Smimou;1;0;0;0;0;0
Tafetachte;0;1;0;0;0;0
Birkouat;0;0;1;0;0;0
Aquermoud;0;0;0;0;1;0
M'khalif;0;0;1;0;0;0
Meskala;0;0;0;1;0;0
Sidi kaouki;1;0;0;0;0;0
Fès;1;1;1;1;1;1
Ifrane;0;1;0;0;0;0
Boulemane;0;0;0;1;0;0
Taounate;0;0;1;0;0;0
Ain cheggag;0;1;0;0;0;0
Ain dorij;1;0;0;0;0;0
Bhalil;0;1;0;0;0;0
El menzel;0;0;0;0;0;1
Guigou;0;0;0;1;0;0
Imouzzer kandar;0;1;0;0;0;0
Imouzzer marmoucha;0;0;0;1;0;0
Karia ba mohamed;1;0;0;0;0;0
Matmata;0;0;0;0;0;1
M'haya;0;0;0;0;1;0
Missour;0;0;0;1;0;0
Oulad tayeb;1;1;1;1;1;1
Outat el haj;0;0;0;1;0;0
Rhafsai;0;0;1;0;0;0
Ribate el kheir;0;0;0;0;0;1
Sefrou;0;1;0;0;0;0
Thar es souk;0;0;1;0;0;0
Tissa;0;0;1;0;0;0
Zaouiat bougrine;0;0;0;0;0;1
Galaz;0;0;1;0;0;0
Ourtzagh;0;0;1;0;0;0
Zerarda;0;0;0;0;0;1
Mdaz;0;0;0;1;0;0
Zouagha;1;1;1;1;1;1
Tamedit;0;0;1;0;0;0
Ain mediouna;0;0;1;0;0;0
Bni oulid;0;0;1;0;0;0
Enjil;0;0;0;1;0;0
Moulay yacoub;1;0;0;0;0;0
Ras tabouda;0;0;0;0;0;1
Ain aicha;0;1;0;0;0;0
Mkansa;1;0;0;0;0;0
Ain chqef;1;1;1;1;1;1
Serghina;0;0;0;1;0;0
Lamjaara;1;0;0;0;0;0
Jbabra;1;0;0;0;0;0
Bouarouss;0;0;1;0;0;0
Sidi bousberr;1;0;0;0;0;0
Tafrant;0;0;1;0;0;0
Skoura m'daz;0;0;0;1;0;0
Bir tam tam;0;0;0;0;0;1
Bouzemlane;0;0;0;0;0;1
Moulay bouchta;1;0;0;0;0;0
Tahar souk;0;0;1;0;0;0
Outabouabane;0;0;1;0;0;0
Teroual;1;0;0;0;0;0
Beni ouled;0;0;1;0;0;0
Ratba;0;0;1;0;0;0
Ain allah;0;0;0;0;1;0
Tazouta;0;0;0;1;0;0
Sidi harazem;0;0;0;0;0;1
Sidi el makhfi;0;0;1;0;0;0
Tizguite;1;0;0;0;0;0
